Location,Borough,Postcode,Latitude,Longitude
Crofton Park,Lewisham,SE4,51.462680000000034,-0.035579999999924894
Denmark Hill,Southwark,SE5,51.47480000000007,-0.09312999999997373
Deptford,Lewisham,SE8,51.48114000000004,-0.02466999999995778
Dulwich,Southwark,SE21,51.44100000000003,-0.08896999999996069
East Dulwich,Southwark,SE22,51.45256000000006,-0.0707599999999502
Elephant and Castle,Southwark,SE1,51.499960000000044,-0.09567999999995891
Elephant and Castle,Southwark,SE11,51.49084000000005,-0.11107999999995855
Elephant and Castle,Southwark,SE17,51.487640000000056,-0.09541999999993322
Bankside,Southwark,SE1,51.499960000000044,-0.09567999999995891
Forest Hill,Lewisham,SE23,51.441220000000044,-0.047639999999944393
Gipsy Hill,Lambeth,SE19,51.41990000000004,-0.08807999999993399
Gipsy Hill,Lambeth,SE27,51.43407000000008,-0.10374999999993406
Grove Park,Lewisham,SE12,51.44759000000005,0.013500000000021828
Herne Hill,Lambeth,SE24,51.45529000000005,-0.09927999999996473
Hither Green,Lewisham,SE13,51.46196000000003,-0.007539999999949032
Honor Oak,Lewisham,SE23,51.441220000000044,-0.047639999999944393
Ladywell,Lewisham,SE4,51.462680000000034,-0.035579999999924894
Ladywell,Lewisham,SE13,51.46196000000003,-0.007539999999949032
Lambeth,Lambeth,SE1,51.499960000000044,-0.09567999999995891
Lee,Lewisham,SE12,51.44759000000005,0.013500000000021828
Lewisham,Lewisham,SE13,51.46196000000003,-0.007539999999949032
New Cross,Lewisham,SE14,51.47489000000007,-0.04037999999997055
Newington,Southwark,SE1,51.499960000000044,-0.09567999999995891
Newington,Southwark,SE17,51.487640000000056,-0.09541999999993322
Nunhead,Southwark,SE15,51.47218000000004,-0.0677899999999454
Oval,Lambeth,SE11,51.49084000000005,-0.11107999999995855
Bellingham,Lewisham,SE6,51.43722000000008,-0.018679999999960728
Peckham,Southwark,SE15,51.47218000000004,-0.0677899999999454
Rotherhithe,Southwark,SE16,51.49574000000007,-0.051569999999969696
Selhurst,Croydon,SE25,51.39925000000005,-0.07413999999994303
Bermondsey,Southwark,SE1,51.499960000000044,-0.09567999999995891
South Norwood,Croydon,SE25,51.39925000000005,-0.07413999999994303
Southend,Lewisham,SE6,51.43722000000008,-0.018679999999960728
St Johns,Lewisham,SE4,51.462680000000034,-0.035579999999924894
Surrey Quays,Southwark,SE16,51.49574000000007,-0.051569999999969696
Tulse Hill,Lambeth,SE24,51.45529000000005,-0.09927999999996473
Tulse Hill,Lambeth,SE27,51.43407000000008,-0.10374999999993406
Upper Norwood,Croydon,SE19,51.41990000000004,-0.08807999999993399
Walworth,Southwark,SE17,51.487640000000056,-0.09541999999993322
Blackheath,Lewisham,SE3,51.47138000000007,0.023380000000031487
West Norwood,Lambeth,SE27,51.43407000000008,-0.10374999999993406
Brixton,Lambeth,SE5,51.47480000000007,-0.09312999999997373
Brockley,Lewisham,SE4,51.462680000000034,-0.035579999999924894
Camberwell,Southwark,SE5,51.47480000000007,-0.09312999999997373
Catford,Lewisham,SE6,51.43722000000008,-0.018679999999960728
Chinbrook,Lewisham,SE12,51.44759000000005,0.013500000000021828
